이름,대표,소재지,번호
선진공인중개사사무소,오경희,서울특별시 서초구 서초동 1755-1 리더스원 상가 106호,02-3474-3800/010-9337-3113
강남공인중개사사무소,조용권,서울특별시 서초구 서초동 1334-1 신동아2차상가 1층 2-3,02-555-1159/010-3783-1159
대우공인중개사사무소,이재성,서울 서초구 서초동 1332-3 무지개쇼핑132호,02-523-6644/010-3156-1057
우리공인중개사사무소,정태영,서울 서초구 서초동 1332-2 무지개쇼핑125호,02-3473-4949/010-2259-1993
사임당공인중개사사무소,정태종,서울특별시 서초구 서초동 1336-1 리더스원 상가 214호,02-521-5521/010-6468-1249
굿모닝부동산 공인중개사사무소,유인숙,서울특별시 서초구 서초동 1755-1 리더스원상가동 121호,02-522-3777/010-6396-5688
연세부동산공인중개사사무소,이헌익,서울특별시 서초구 서초동 1757-1 서초 그랑자이 그랑몰 124호,02-2607-0579/010-3043-4417
더강남공인중개사사무소,박유정,"서울특별시 서초구 서초동 1337-2, 109호(서초동, 아크로텔강남역)",02-588-1171/010-5635-1171
우리공인중개사사무소,원정례,서울특별시 서초구 서초동 1338-20 현대렉시온 상가 B-117호,02-586-0100/010-4403-6135
ESA프라임공인중개사사무소,김철동,서울 서초구 서초2동 1337-22 대우디오빌프라임 106호,02-525-5600
맑은공인중개사사무소,이동오,서울시 서초구 서초동 1340-14 2층[31호],010-6367-1131
대림공인중개사사무소,왕인옥,서울특별시 서초구 서초동 1337-2 아크로텔강남역 1층 111호,02-586-0006/010-2700-1748
UnC공인중개사사무소,이지연,서울특별시 서초구 서초동 1337-22 서초동 대우디오빌프라임 112호,02-582-5554
황금서초부동산중개법인주식회사,김시내,서울특별시 서초구 서초동 1337-2 아크로텔 강남역 113호,02-3473-9922
현대렉시온OK공인중개사사무소,양성근,서울특별시 서초구 서초동 1338-20 현대렉시온 B110호,02-2182-5088/010-4788-8230
강남삼성공인중개사사무소,백승근,서울시 서초구 서초동 1337-22 대우디오빌프라임 208호,010-5797-1429
태해란공인중개사사무소,김홍철,서울시 강남구 역삼동 832-7 황화빌딩 1311호,02-557-5919/010-8152-5919
홍익공인중개사사무소,성순희,서울특별시 서초구 서초동 1757-1 120호,02-599-6700/010-4589-0034
차인아공인중개사사무소,차인아,서울특별시 서초구 서초동 1757-1 111호,02-521-2299/010-9307-6900
생기복덕강남공인중개사사무소,이상태,서울특별시 서초구 서초동 1340-14 2층(15호),010-2359-5949
신명공인중개사사무소,신은미,서울특별시 서초구 서초동 1338-25 신명스카이뷰멤버스 1층 104호,02-585-2434/010-5760-2434
서광공인중개사사무소,김진기,서울특별시 서초구 서초동 1340-14 2층 9호,02-585-2022/010-9032-9363
리더스부동산공인중개사사무소,강영란,서울특별시 서초구 서초동 1337-2 아크로텔 강남역 B104호,02-584-8400/010-5055-1357
한결공인중개사사무소,송시원,서울시 강남구 역삼동 832-5,02-562-8924/010-9854-3912
강남효성공인중개사사무소,정유리,서울특별시 서초구 서초동 1337-6 강남효성해링턴타워 102호,02-588-2110/010-2797-3362
프라임서초부동산중개사무소,이다혜,서울특별시 서초구 서초동 1337-2 아크로텔 강남역 111호,010-2154-0971
리더스리얼티부동산중개,이현경,서울시 서초구 서초동 1337-22 서초동 대우디오빌 프라임 208호,02-379-6410/010-2662-6410
명공인중개사사무소,임대권,서울시 서초구 서초동 1338-20 현대렉시온 2408호,02-6205-2415
아크로공인중개사사무소,이광훈,서울 서초구 서초동 1337-14 이즈타워 123호,02-3473-0140/010-3494-5774
정상의공인중개사들,박성수,서울시 강남구 역삼동 837-11 유니온센터빌딩 803호,02-5555-440
원탑공인중개사사무소,민정숙,서울특별시 서초구 서초동 1340-14 2층 40호,02-2214-6100/010-9248-7523
가교부동산중개,김천웅,서울시 서초구 서초동 1338-21 코리아비지니스센타 4층3호,02-3473-7464/010-5351-1933
황금공인중개사사무소,김만자,서울시 서초구 서초동 1337-2 아크로텔강남역 113호,02-3473-9933/010-8717-5518
GPS부동산중개사무소,김경모,서울시 강남구 역삼동 832-7 황화빌딩 5층,02-2088-4755
미래공인중개사사무소,신균섭,서울특별시 서초구 서초동 1340-14 KGC 2층 35호,010-3269-7494/010-3269-7494
크리스탈공인중개사사무소,홍혜숙,서울특별시 서초구 서초동 1340-14 2층 38호,010-4377-1391
부동산뱅크서초본점공인중개사사무소,손철원,서울특별시 서초구 서초동 1757-1 1층 139호,02-3471-7888/010-8852-5152
현대공인중개사사무소,허인숙,서울특별시 서초구 서초2동 1338-20 현대렉시온 2층 209호,02-598-1188/010-3575-6669
단지내아크로공인중개사사무소,김태희,서울특별시 서초구 서초동 1337-14 이즈타워 1283호,02-3472-2525/010-2452-8657
제이로부동산중개,김지희,서울시 서초구 서초동 1340-14 2층[5호],010-8477-2783
바른부동산중개,김영범,서울시 서초구 서초동 1337-22 서초동대우디오빌프라임 2층208호,02-6490-8677/010-2248-8677
청목부동산중개,남기민,서울시 강남구 역삼동 832-7 12층 1202호,070-8648-3459/010-4596-8532
파크공인중개사사무소,설태환,서울시 서초구 서초동 1340-14 2층[36호],02-555-9122/010-8740-6587
로아트공인중개사사무소,김태환,서울특별시 서초구 서초동 1338-21 코리아비지니스센타 18층 5호,010-4222-8285
자이부동산공인중개사사무소,김미심,서울특별시 서초구 서초동 1335 상가동 1층 134호,02-587-7800
주식회사부동산중개법인다름,이재황,서울특별시 서초구 서초동 1338-20 현대렉시온 비107호(6호),070-8064-5608
부동산중개법인익스퍼트주식회사,남성민,"서울시 강남구 역삼동 832-7 황화빌딩 9층 902호,903호,904호",02-6243-1100/010-2670-8870
대산코리아공인중개사,강경희,서울 서초구 서초동 1338-21 코리아비즈니스센타 1층4호,02-523-6565
빅스비공인중개사사무소,김병조,서울시 서초구 서초동 1337-22 서초동대우디오빌프라임 208호,02-6490-8669/010-6247-0974
뉴탑공인중개사사무소,장기화,서울특별시 서초구 서초동 1340-14 2층 23호,02-536-0100/010-9976-8538
로얄단지내공인중개사사무소,김정진,서울시 서초구 서초동 1337-2 아크로텔 강남역 106호,02-587-0064/010-4257-8899
유니온공인중개사사무소,민병진,서울 강남구 역삼동 837-11유니온센타 상가5호,02-538-6081/--
강남씨티공인중개사사무소,장동우,서울특별시 서초구 서초동 1337-14 이즈타워 120호,02-523-5600/010-6213-5870
우진세무사공인중개사사무소,소충수,서울시 강남구 역삼동 837-11 유니온센터 804호,02-6403-9114
빅스공인중개사사무소,강호중,서울특별시 서초구 서초동 1337-22 대우디오빌프라임 208호,02-6490-8670/010-2358-4408
가치공인중개사사무소,김재란,서울시 서초구 서초동 1337-22 208호,02-585-5416/010-3629-5416
풍림공인중개사사무소,정보경,서울특별시 서초구 서초동 1338-1 풍림아이원플러스 103,02-588-5882/010-7795-6018
서울부동산공인중개사사무소,김현동,서울특별시 서초구 서초동 1335 1층 117호,02-3474-0939/010-3594-6590
프라임공인중개사사무소,장용동,서울시 서초구 서초동 1337-2 아크로텔 강남역 111호,02-586-0006/010-9992-2964
서초믿음공인중개사사무소,소진영,서울특별시 서초구 서초동 1336 래미안 리더스원 상가 119호,02-581-1883/010-2388-5428
단지내리더스공인중개사사무소,김남희,서울시 서초구 서초동 1337-14 이즈타워 1층 123호,02-3473-0002
큐빌딩매매부동산중개,서영성,"서울특별시 서초구 서초동1337-22, 208호",070-4024-6128/010-5052-6128
금강부동산중개법인주식회사,문남숙,서울특별시 서초구 서초동 1337-22 서초동대우디오빌프라임 112호,02-585-9449
지호공인중개사사무소,안지은,서울특별시 서초구 서초2동 1337-6 강남효성해링턴타워 105호,02-525-0051/010-8949-8383
단지내부동산공인중개사사무소,이순영,서울 서초구 서초동 1336 상가 127호,02-553-0045/010-8723-0586
주형공인중개사사무소,김언기,서울시 서초구 서초동 1337-22 서초동 대우디오빌프라임 208호,010-8959-4976
우리부동산중개사무소,서가영,서울시 서초구 서초동 1327 113호,02-598-4244
서이공인중개사사무소,송임순,서울특별시 서초구 서초동 1332-2 대한무지개종합상가 1층 63호,02-3487-2727/010-3871-8773
래미안공인중개사사무소,권영철,서울특별시 서초구 서초동 1332-2 무지개쇼핑상가 1층 28호,02-3473-0069/010-2570-9825
삼성타운공인중개사사무소,남선우,서울시 서초구 서초동 1321-9 풍림아이원매직 101호,02-586-0700/010-3624-7129
현대공인중개사사무소,차명회,서울시 서초구 서초동 1332-2 대한무지개종합상가 1층6호,02-588-1145/010-7270-4656
스피드공인중개사사무소,김순자,서울특별시 서초구 서초동 1332-2 대한무지개종합상가 1층 36호,02-581-5944/010-8731-1645
그린공인중개사사무소,홍재헌,"서울특별시 서초구 서초동 사임당로 151, 1층8호 (서초동,대한무지개종합상가)",02-583-6636/011-210-9374
행운알파부동산중개(주),유점상,서울특별시 서초구 서초1동 1332-2 2층,02-585-3060
행운알파부동산중개(주),이정수,서울시 서초구 서초동 1315 진흥상가 1층 103호,02-706-1116/010-2861-5075
금성CB부동산중개,이정수,서울 서초구 서초동 1316-3,02-3481-5494
진흥공인중개사사무소,박영철,서울 서초구 서초동 1316-3,02-3481-5494
정향공인중개사사무소,박건호,서울특별시 서초구 서초동 1319-5 11층,02-587-8004/010-5801-8024
마스터공인중개사사무소,허춘식,서울시 서초구 서초동 1316-5 뿌띠크모나코 2207호,02-535-0321
빌딩쏘영부동산중개법인주식회사,안소영,서울특별시 서초구 서초동 1316-5 부띠크 모나코 1102호,02-6401-6633/010-9013-1337
삼성부동산,최인실,"서울 서초구 서초대로 389, 1층 111호 (서초동,진흥상가)",02-534-9988/010-9259-7185
주식회사로고스부동산중개법인,김성수,서울시 강남구 신사동 539-11 12층,02-3486-2566/010-8377-1086
퍼슨앤리얼티부동산중개법인주식회사,한상열,서울시 서초구 서초동 1316-5 부띠크 모나코 801호,02-6746-5000
부띠크모나코공인중개사사무소,박종서,서울 서초구 서초동 1315 진흥상가 117,02-563-0033/010-7310-3131
강남모나코공인중개사사무소,이정희,서울특별시 서초구 서초동 1315 진흥상가 1층 115호,02-533-9998/010-2200-2029
에이리얼티코리아부동산중개주식회사,박선정,서울시 서초구 서초동 1316-29 타임빌딩 907호,02-508-3733/010-9772-4882
한솔공인중개사사무소,이광재,서울시 서초구 서초동 1307-7 2층202호,02-3482-5750/010-2322-0576
부띠크모나코공인중개사사무소,강정애,"서울 서초구 서초대로 389, 1층 117호 (서초동, 진흥상가)",02-581-5001/010-4575-3307
진흥상가흥진부동산중개사무소,권영철,서울특별시 서초구 서초4동 1315 진흥아파트상가 1층 109호,02-3482-5545/010-6265-8949
리얼리치부동산중개,최성호,서울시 서초구 서초동 1316-1 5층,
그린공인중개사사무소,나희중,서울 서초구 서초4동 1302-1 서초오피스텔 제1층 114호,02-562-9999/010-4226-2045
월드공인중개사사무소,장한초,서울시 서초구 반포동 745-6 111호,02-518-5185/010-4964-5185
서초조은공인중개사사무소,조은미,서울시 서초구 서초동 1311-7 1층 104호(나),02-533-3570/010-6539-5767
태양공인중개사사무소,장석우,서울특별시 서초구 서초동 1311-7 삼호종합상가 1층 103호(나),02-533-3100/010-4028-3019
탁월한공인중개사사무소,홍승희,서울시 서초구 서초동 1311-7 1층 108호,02-533-7742
써밋공인중개사사무소,황일석,서울시 서초구 서초동 1311-7 지하1호,02-532-1050/010-9288-3485
복자부동산공인중개사사무소,오시청,서울특별시 서초구 서초동 1311-7 1층 104호(나),02-555-4499/010-2055-0151
복자공인중개사사무소,이명희,서울시 서초구 서초동 1311-7 1층104호(나),02-555-4499/010-2055-4541
씨티공인중개사사무소,조영주,서울특별시 서초구 서초동 1311-7 삼호종합상가 1층 102호(가),02-3482-7733/010-9421-5111
롯데공인중개사사무소,소현아,서울특별시 서초구 서초동 1311-7 삼호종합상가 1층 102호(나),02-3482-3482/010-4326-2276
서초써밋공인중개사사무소,홍기선,서울특별시 서초구 서초동 1311-7 1층 120호,02-535-7114/010-5349-7114
리즈파트너스부동산중개,이시우,서울시 서초구 서초동 1302-1 615호,010-9908-2001
스마트공인중개사사무소,박강수,서울시 서초구 서초동 1311-7 104가호,02-536-4980/010-3636-4980
사랑의푸르지오써밋공인중개사사무소,전유영,서울시 서초구 서초동 1311-7,02-592-2221/010-4738-2097
미래[써밋점]공인중개사사무소,박지현,서울특별시 서초구 서초동 1311-7 1층 103호(나),02-534-1119/010-2469-0700
(주)부동산중개법인교보,김세환,서울특별시 서초구 서초동 1311-7 푸르지오상가 211,02-536-5670/010-2617-8900
박종은공인중개사사무소,박종은,서울특별시 서초구 서초동1311-7 1층119호,02-533-0809/010-4027-4357
롯데캐슬공인중개사사무소,김성일,서울시 서초구 서초동 1311-7 삼호아파트 상가 105호,02-536-2228/010-8680-3485
서초오구공인중개사사무소,김윤석,서울특별시 서초구 서초동 1311-7 삼호종합상가 1층 122호,02-532-5559/010-5832-5559
참수리공인중개사사무소,김진영,서울시 서초구 서초동 1302-1 지상1층 104호,02-3481-0112/010-7362-9515
서초대표공인중개사사무소,황옥수,서울특별시 서초구 서초동 1311-7 1층 120호,02-534-9333/010-5350-7114
강남역서초써밋롯데캐슬공인중개사사무소,최은혁,서울특별시 서초구 서초동 1311-7 삼호종합상가 1층 106호,02-534-8949/010-4355-0030
롯데클래식공인중개사사무소,신선주,서울특별시 서초구 서초동 1311-7 1층102호(가),02-593-1999/010-2312-5603
썬앤빌강남부동산중개,권능,서울시 서초구 서초동 1303-16 IPARK 강남역1차 아이파크 1519호,02-535-1140
디오빌강남부동산공인중개사사무소,김명경,서울특별시 서초구 서초동 1309-1 서초동 오피스텔 111호,02-593-1700/010-4333-7869
동궁공인중개사사무소,유경희,서울시 서초구 서초동 1308-25 강남오피스텔 714호,02-6949-4983/010-6558-5215
부동산123공인중개사사무소,김정철,서울 서초구 서초동 1308-1삼미빌딩101호,02-592-1230/010-8291-6249
%프로공인중개사사무소,고상수,서울특별시 강남구 역삼동 810-17 지하1층,02-6449-3555/010-2440-4466
정원디앤씨공인중개사사무소,김정원,서울시 서초구 서초동 1308-25 강남오피스텔 801호,
강남리가공인중개사사무소,한승애,서울시 서초구 서초동 1308-26,02-599-9995
주식회사위파인드부동산중개법인,정유주,서울특별시 강남구 역삼동 809-18 비제바노 4층[402호],02-2244-8687
동아부동산공인중개사사무소,김지학,서울시 강남구 역삼동 817 2층,02-501-7774
뉴스공인중개사사무소,김재필,서울특별시 서초구 서초동 1309-1 서초동오피스텔 1401호,02-512-0788/010-2733-1100
디오빌HS강남공인중개사사무소,김현수,서울특별시 서초구 서초동 1309-1,02-553-0470/010-6279-9950
강남We공인중개사사무소,박승환,서울시 강남구 역삼동 813-8 소현빌딩 401호,02-3453-8882
D.H부동산공인중개사사무소,김선아,서울특별시 강남구 역삼동 813-18 3층,02-563-2000/010-3305-0803
강남씨티공인중개사사무소,김외숙,서울시 강남구 역삼동 809-11 3층,010-7126-5587/010-9765-1406
랜드코리아공인중개사사무소,정성훈,서울 서초구 서초동 1303-37 W-Tower 1231호,070-7568-5081/010-2448-5081
강남인공인중개사사무소,임지영,서울시 서초구 서초동 1308-10 서초동월드상가 104호,02-595-5557/010-6454-5504
IPARK강남부동산중개,민선영,서울특별시 서초구 서초동 1303-16 강남역 IPARK 지1층 B101호,02-514-4333/010-9294-4333
강남1번지부동산공인중개사사무소,최은규,서울시 서초구 서초동 1303-36 트라이랜드빌딩 1층,02-596-5005
국민공인중개사사무소,김상훈,서울특별시 서초구 서초동 1308 삼미빌딩 1층 116호,02-537-3737/010-9616-7827
유앤아이공인중개사사무소,서진호,서울시 서초구 서초동 1303-10 서초한일유앤아이주상복합 B118호,02-534-8989/010-9053-1825
강남역노른자공인중개사사무소,박관률,서울시 강남구 역삼동 810-8 3층,02-558-9977/010-6685-7252
강남뉴파크공인중개사사무소,김현숙,서울시 서초구 서초동 1303-16 강남역아이파크1차 419호,02-533-9595
대우공인중개사사무소,오성석,서울시 서초구 서초동 1309-1 109호,02-517-2854
주식회사메이드리얼티부동산중개법인,이현석,서울특별시 강남구 역삼동 837-15 4층[401호],02-6956-6455/010-2109-6455
스타츠코리아부동산중개법인주식회사,전미화,서울특별시 강남구 역삼동 837-36 랜드마크타워 15층 1518호,02-779-8345
신세계공인중개사사무소,최인철,서울특별시 강남구 역삼동 837-26 삼일프라자오피스텔 110호,02-555-6001
르메이에르강남공인중개사사무소,최정숙,서울 강남구 역삼동 837-19 르메이에르 타운 102호,02-567-8280/010-4234-3053
홈링크부동산중개법인주식회사,이장성,서울시 강남구 역삼동 837-26 삼일프라자오피스텔 13층 1315호,02-739-1110/010-7682-5209
강남리더스공인중개사사무소,백소연,서울특별시 강남구 역삼1동 837-17,02-561-4119/018-350-3979
한일공인중개사사무소,김범주,서울특별시 강남구 역삼동 836 1층 111호,02-556-0036/010-2213-3161
행복공인중개사,장영기,서울 강남구 대치동 908-8 102호,010-5208-8298/010-5208-8298
주식회사스타리치부동산중개법인,이일형,서울특별시 강남구 역삼동 837-9 6층,02-556-5333
삼성부동산공인중개사사무소,오광희,서울시 강남구 도곡동 945-18 1층 101호,02-576-3600
위즈부동산,윤정규,서울 강남구 도곡1동 947-25 1층,02-575-0981/010-8028-3377
빌리언즈부동산중개법인주식회사,김중섭,서울시 강남구 역삼동 837-26 삼일프라자오피스텔 11층 1127호,070-4045-0503/010-2244-2995
뉴에이스공인중개사사무소,최지황,서울시 강남구 역삼동 826-37 1층 116호,02-508-7008/010-7187-8398
해피랜드공인중개사사무소,원지훈,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류 1층 상가116호,010-3959-8690/010-3959-8690
허브젠공인중개사사무소,김진규,서울시 강남구 역삼동 831-45 1층 108호,02-501-7171/010-4722-4791
허브젠공인중개사사무소,소재곤,서울 강남구 역삼동 831-45 SK허브젠 108호,02-501-7171/010-7900-3721
원부동산중개사무소,나종원,서울시 서초구 서초동 1328-3 12층(20호),010-4489-5015
아델공인중개사사무소,차상욱,서울시 강남구 역삼동 832-30 5층[501호],02-2051-8896
강남공인중개사사무소,박정숙,서울특별시 서초구 서초동 1337-1 강남미래타워 104호(1호),02-587-1003/010-9719-9011
에이플러스부동산중개주식회사,김병수,서울특별시 서초구 서초동 1337-31 산학재단빌딩 18층,02-6900-4555/010-8954-9177
에이플러스부동산중개주식회사,여상준,서울특별시 서초구 서초2동 1329-8 삼원빌딩 8층,070-4223-8834/010-2745-2365
역삼메카공인중개사사무소,김교준,서울시 강남구 역삼동 826-37 쌍용플래티넘밸류 1층 상가116호,02-558-4725/010-5399-4725
주식회사재이캐이부동산중개법인,홍성민,서울시 서초구 서초동 1328-3 12층 4호,02-581-3345/010-6394-3427
솔라티움공인중개사사무소,임영순,서울시 서초구 서초동 1327-34 솔라티움시티 강남 105호,02-588-7770/010-7401-7772
알파공인중개사사무소,강우신,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류 상가104호,02-552-9944
쉐르빌한결공인중개사사무소,송영미,서울특별시 강남구 강남대로 328 109호(역삼동),02-562-8924
빌딩나비강남역쉐르빌부동산중개주식회사,홍선하,서울특별시 강남구 역삼동 832-3 강남역 쉐르빌 110호,02-538-7800/010-7482-7800
주식회사강남유진부동산중개법인,임유진,서울시 강남구 역삼동 832-16 BIEL 106 1층 103호,02-6402-0090/010-2446-2489
공인중개사전영석사무소,전영석,서울 강남구 역삼동 826-37 쌍용플래티늄밸류 126호,02-581-3353/010-7130-3133
공인중개사전영석사무소,유병욱,서울시 강남구 역삼동 826-37 쌍용플래티넘밸류 116호,02-552-4151/010-9226-4151
대우부동산중개법인주식회사,송병권,서울시 서초구 서초동 1328-11 대우도씨에빛2 103-1호,02-525-4889/010-7161-9130
서울공인중개사사무소,유현숙,서울특별시 서초구 서초동 1328-11 대우도씨에빛2 지하1층 B108호,02-585-6888/010-3176-1998
루카쉐르빌부동산중개,조영왕,서울시 강남구 역삼동 832-16 BIEL 106 2층 221호,02-561-0808/010-6348-8412
굿모닝공인중개사사무소,박영복,서울시 강남구 역삼동 826-37 쌍용플레티넘 아케이트 1층 130호,02-3473-8949/010-3204-3477
골드로즈다올공인중개사사무소,이강무,"서울특별시 서초구 서초2동 1330-6 롯데골드로즈 212호(서초대로74길 51, 2층 212호)",02-585-3060
청마공인중개사사무소,문자원,서울시 강남구 역삼동 826-37 쌍용플래티넘밸류 1층 116호,010-4720-5332/010-4720-5332
골드에셋부동산중개법인주식회사,임정,서울시 강남구 역삼동 831-24 7층,02-568-1957/010-4312-6448
경세경공매부동산중개,이서복,서울 송파구 신천동 11-9 한신오피스텔 1005,02-3486-2266
징검다리부동산중개,양진영,서울시 강남구 역삼동 826-37 116호,010-4288-5526
(주)LK부동산중개법인,이정연,서울특별시 서초구 서초동 1337-17 2층 206호,02-538-1208/010-9809-7104
강남역탑공인중개사사무소,박영옥,서울특별시 서초구 서초동 1328-11 1003호,02-566-8224
대성공인중개사사무소,한경희,서울특별시 서초구 서초동 1337 1층 104호,02-572-1111/010-3255-8770
강남미라클공인중개사사무소,장미라,서울특별시 강남구 역삼동 826-21 미왕빌딩 주건축물제1동 13층[1320호],010-8865-6542
강남수공인중개사사무소,홍수연,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류 지1층 비 상가 103호,010-7210-5585
강남수공인중개사사무소,최혜정,서울특별시 서초구 서초동 1337 강남미래타워 104호,02-581-3690/010-3498-4211
한결공인중개사사무소,최세경,서울특별시 강남구 역삼동 832-5 역삼디오슈페리움 305호,010-2748-1115
한결공인중개사사무소,최세경,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류 상가 116호,02-535-9161/010-6265-9161
강남부동산공인중개사사무소,김홍주,서울특별시 강남구 역삼1동 826-37 쌍용플래티넘밸류 B동 103호,02-557-1444/010-2443-8979
삼천백부동산중개,김성배,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류 1층 상가 116호,02-555-3110/010-9918-3100
골드로즈강남공인중개사사무소,황성연,서울 서초구 서초동 1330-6 롯데골드로즈 105호,02-3473-5151/010-4499-9911
강남테헤란로공인중개사사무소,황봉섭,서울시 강남구 역삼동 824-11 한라클래식오피스텔 105호,02-568-1263
강남테헤란로공인중개사사무소,김병국,서울특별시 강남구 역삼동 825-24 강남역 효성해링턴타워 더퍼스트 2층 207호,02-581-0401
부자공인중개사사무소,이지효,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 413호,010-4881-1007
주식회사스타힐부동산중개법인,문희광,서울시 강남구 역삼동 817-11 5층,02-562-1222
역삼역센트럴푸르지오공인중개사사무소,정성후,서울시 강남구 역삼동 825-20 센트럴에비뉴219호,02-568-5070
역삼공인중개사사무소,강병호,서울 강남구 역삼1동 824-25번 대우디오빌플러스 상가102호,02-6205-0075/010-5732-0075
강남제일공인중개사사무소,김정태,서울시 강남구 역삼동 825-20 B116호,02-567-0358/010-2373-3068
태랑공인중개사사무소,주예령,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 지1층 B112호,010-4191-0777/010-8677-1154
광채공인중개사사무소,김진희,서울시 강남구 역삼동 825-20 109호,02-400-2577/010-2929-2577
제일부동산공인중개사사무소,배장주,서울특별시 강남구 역삼동 827-5 1층,02-554-0037/010-3757-9850
권유공인중개사사무소,박무건,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 센트럴애비뉴 B112호,02-6952-9112/010-8370-7400
헌터공인중개사사무소,손경만,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 311호,02-552-0544/010-8714-0544
강남탑부동산중개법인,김주만,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 1층,02-568-0898
푸르지오강남공인중개사사무소,황순호,서울시 강남구 역삼동 825-20 강남역센트럴푸르지오시티 지하2층 센트럴애비뉴 B204호,02-561-0049/010-8830-2650
강남역부동산중개,박윤철,"서울시 강남구 강남대로 390 (역삼동, B1-2호)",02-501-8911/010-9193-7106
이지공인중개사,송정회,서울 강남구 역삼동 823-3 크레신타워2차 204호,02-558-8987/010-8989-2370
그레이스부동산중개,박효정,"서울특별시 강남구 역삼동 825-20 1층 센트럴애비뉴 109호(역삼동, 강남역 센트럴푸르지오시티)",02-552-5501/010-7214-2400
그레이스부동산중개,김태수,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오시티 센트럴애비뉴 3층 311호,02-3490-0011/010-8649-7749
원스타부동산중개,주연우,서울시 강남구 역삼동 825-19 강남역 센트럴 푸르지오 시티 1층 센트럴애비뉴 109호,010-8588-2700
R114공인중개사사무소,김재원,서울시 강남구 역삼동 825-20 강남역 센트럴푸르지오 시티 1층 센트럴애비뉴 109호,010-3204-7237
R114공인중개사사무소,최현경,서울특별시 강남구 역삼동 825-20 센트럴애비뉴 309호,02-543-2427/010-9004-4396
에이스공인중개사사무소,임성재,서울 강남구 역삼1동 822 명선빌딩 203,02-566-2900/010-5497-6969
(주)마스터부동산중개법인,허춘식,"서울시 강남구 역삼동 825-20 역삼동 , 강남역 센트럴 푸르지오 시티 313호",02-535-0321/010-2285-7999
(주)마스터부동산중개법인,허춘식,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 4층 410호,010-5210-1229
강남구공인중개사사무소,구경희,서울시 강남구 역삼동 822-7 테헤란로113 목화밀라트 312호,02-566-7779/010-6835-7789
지엔부동산중개법인주식회사,김정권,서울특별시 서초구 서초동 1319-11 두산베어스텔 1307호,02-3487-2111/010-4519-0922
청담공인중개사사무소,곽은숙,서울특별시 강남구 역삼동 825-20 센트럴에비뉴 B112호,02-567-8863/010-3160-3839
연공인중개사사무소,황성연,서울특별시 강남구 역삼동 825-20 1층 센트럴애비뉴 109호,010-4456-1218
당근공인중개사사무소,부지연,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 1층 센트럴애비뉴109호,010-5048-1835/010-5048-1835
굿모닝컨설팅,오택용,서울 강남구 역삼1동 648-1 byc빌딩 12층,02-525-4898/010-3763-3037
굿모닝컨설팅,오택용,서울 강남구 역삼1동 648-1 byc빌딩 12층,02-501-2008/010-4441-2224
보너스부동산중개,조병선,서울 서초구 서초동 1319-13 현대타워105호,02-3471-3131/010-3715-4456
현대공인중개사사무소,조병선,서울 서초구 서초동 1319-13 현대타워105호,010-2253-0301
홈즈부동산중개사무소,이혁,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 1층 센트럴애비뉴 128호,010-2253-0301
강남퍼스트공인중개사사무소,이준상,서울시 강남구 역삼동 825-20 115호,02-562-4080
더힐공인중개사사무소,창성남,서울시 강남구 역삼동 825-20 B112 (강남역 센트럴푸르지오시티),02-793-7896
주식회사한강부동산중개법인,장미경,서울특별시 강남구 역삼동 825-20 강남역 센트럴푸르지오시티 지2층 센트럴에비뉴 B205호[3A],02-518-3205/010-4292-7887
에버튼공인중개사사무소,박소엽,서울특별시 서초구 서초동 1319-13 서초현대타워아파트 807호,02-2695-4989/010-4635-2277
강남역센트럴푸르지오공인중개사사무소,김윤호,서울특별시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 1층 124호,02-582-5000
바로공인중개사사무소,최요한,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 413호,010-7755-2340/010-7755-2340
주식회사강남플러스부동산중개법인,임기택,서울시 강남구 역삼동 827-14 1층,02-554-5003
주식회사강남플러스부동산중개법인,임기택,서울시 강남구 역삼동 825-20 지하 2층 210호,010-2966-0851
무진공인중개사사무소,박정규,서울특별시 강남구 역삼동 826-26 패스트파이브빌딩 8층 802호[825호],02-2135-7435/010-5634-1160
바우공인중개사사무소,홍경묵,서울특별시 강남구 역삼1동 824-11 한라클래식오피스텔 1602-1호,010-5259-0466
세이프공인중개사사무소,김동현,서울시 강남구 역삼동 825-20 강남역 센트럴 푸르지오 시티 2층 센트럴에비뉴 203호,010-3459-3119/010-3459-3119
